City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ushuaia,-54.8,-68.3,1.81,93,100,1.03,AR,1699692082
83,port elizabeth,-33.918,25.5701,22.4,64,40,10.8,ZA,1699692157
84,isafjordur,66.0755,-23.124,0.61,77,84,1.56,IS,1699692148
85,cronulla,-34.05,151.15,24.55,70,0,10.8,AU,1699692115
86,khandyga,62.6667,135.6,-30.0,100,100,1.17,RU,1699692143
87,tazovsky,67.4667,78.7,-10.36,96,100,1.44,RU,1699692284
88,papatowai,-46.5619,169.4708,12.14,66,63,2.2,NZ,1699692074
89,awjilah,29.1081,21.2869,25.12,40,11,1.98,LY,1699692285
90,goondiwindi,-28.55,150.3167,28.54,28,0,1.53,AU,1699692286
91,mozarlandia,-14.7447,-50.5706,27.37,47,42,2.31,BR,1699692144
92,nanning,22.8167,108.3167,31.25,79,64,4.3,CN,1699692174
93,dondo,-19.6094,34.7431,26.73,42,63,2.24,MZ,1699692289
94,shinas,24.7433,56.4658,33.02,38,23,3.21,OM,1699692149
95,greymouth,-42.4667,171.2,11.31,90,4,1.76,NZ,1699692292
96,badger,64.8,-147.5333,-8.07,88,100,1.54,US,1699692111
97,saint-philippe,-21.3585,55.7679,27.28,84,97,3.76,RE,1699692293
98,kiunga,-6.1219,141.2906,26.63,71,19,1.14,PG,1699692294
99,nuku'alofa,-21.1333,-175.2,22.19,83,75,8.23,TO,1699692192
100,gore,-46.1028,168.9436,12.74,51,65,2.58,NZ,1699692295
101,keflavik,64.0049,-22.5624,3.24,93,100,5.66,IS,1699692296
102,trondheim,63.4305,10.3951,3.05,74,93,0.89,NO,1699692297
103,atafu village,-8.5421,-172.5159,29.2,71,94,4.29,TK,1699692145
104,iqaluit,63.7506,-68.5145,-3.15,68,100,3.09,CA,1699691993
105,minas de marcona,-15.2119,-75.1103,14.43,90,71,3.16,PE,1699692164
106,chernyshevsk,52.5243,117.0174,-12.07,84,9,1.25,RU,1699692299
107,kargopol',61.5071,38.9456,3.45,96,100,2.74,RU,1699692300
108,iskateley,67.6803,53.1512,-4.99,94,100,8.05,RU,1699692300
109,ugbokpo,7.6565,7.8664,27.5,74,94,1.53,NG,1699692301
110,touros,-5.1989,-35.4608,25.9,72,12,5.63,BR,1699692302
111,berezovyy,51.6667,135.7,-7.39,60,94,1.03,RU,1699692303
112,fort mcmurray,56.7268,-111.381,-4.23,86,0,4.12,CA,1699692093
113,magadan,59.5667,150.8,-16.99,80,9,5.24,RU,1699692305
114,al khums,32.6486,14.2619,23.33,69,16,4.68,LY,1699692306
115,st. john's,47.5649,-52.7093,1.75,94,100,11.83,CA,1699692000
116,burao,9.5221,45.5336,26.22,35,97,2.32,SO,1699692308
117,pocone,-16.2567,-56.6228,27.5,44,10,2.48,BR,1699692308
118,temara,33.9287,-6.9066,17.05,94,6,0.0,MA,1699692309
119,rethymno,35.3647,24.4714,24.0,66,100,5.91,GR,1699692311
120,alofi,-19.0595,-169.9187,23.94,94,100,4.12,NU,1699692311
121,kapuskasing,49.4169,-82.4331,-2.95,93,100,2.57,CA,1699692084
122,bijelo polje,43.0337,19.747,9.57,90,94,2.01,ME,1699692313
123,uturoa,-16.7333,-151.4333,26.52,85,9,4.93,PF,1699692008
124,westport,41.1415,-73.3579,7.64,78,0,3.09,US,1699692308
125,charcas,23.1333,-101.1167,14.21,95,100,3.29,MX,1699692315
126,san patricio,28.017,-97.5169,15.05,93,100,4.31,US,1699692316
127,pangoa,-12.1167,-73.0,19.96,81,41,1.55,PE,1699692316
128,lebu,-37.6167,-73.65,10.94,95,100,7.93,CL,1699692111
129,page,36.9147,-111.4558,5.94,33,0,1.34,US,1699692318
130,nyurba,63.2842,118.3319,-7.4,78,100,5.37,RU,1699692319
131,cole harbour,44.6724,-63.4751,4.71,86,14,4.63,CA,1699692320
132,nemuro,43.3236,145.575,3.72,72,43,12.26,JP,1699692321
133,katsuura,35.1333,140.3,13.82,69,100,7.17,JP,1699692321
134,whitehorse,60.7161,-135.0538,-0.57,93,100,0.0,CA,1699692322
135,nurmes,63.5421,29.1397,-1.63,82,100,3.46,FI,1699692323
136,sinnersdorf,51.0244,6.8179,8.3,87,5,1.34,DE,1699692323
137,frenda,35.0654,1.0495,11.43,57,33,3.03,DZ,1699692325
138,namibe,-15.1961,12.1522,24.65,57,75,3.73,AO,1699692325
139,sikasso,10.9167,-7.0,29.1,41,100,1.78,ML,1699692327
140,tiksi,71.6872,128.8694,-12.65,90,100,9.37,RU,1699692075
